번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
283,관광숙박업,03_11_01_P,6520000,CDFI2260032019000003,2019-05-30,,1,영업/정상,13,영업중,,,,,647319830,,,제주특별자치도 서귀포시 색달동 2864-32,제주특별자치도 서귀포시 중문관광로 124 (색달동),63535,씨사이드아덴(색달해변리조트),2022-02-16 17:00,U,2022-02-18 2:40,,145328.4687,-27352.64447,관광숙박업,,자연녹지지역,9,기타,,,콘도미니엄,5,4,,,,,,,,,,,,31444.56,,,,,,,,,300000000,,,,31445,휴양콘도미니엄업
284,관광숙박업,03_11_01_P,4810000,CDFI2260032019000007,2019-06-05,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 중앙동 256번지,전라남도 여수시 이순신광장로 139 (중앙동),59737,KEY WEST,2019-06-05 18:00,I,2019-06-07 2:21,,267653.9552,137946.6668,관광숙박업,,일반상업지역,5,기타,,,숙박시설,5,,,,,,,,,,,,,3987.68,,,,,,,,,5500000000,,,,3988,호스텔업
285,관광숙박업,03_11_01_P,4060000,CDFI2260032019000002,2019-05-10,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 문산읍 내포리 391-1,경기도 파주시 문산읍 문현말길 113-2,10841,오블라디 호스텔,2023-05-15 15:56,U,2023-05-17 2:40,,179757.1166,482732.3358,관광숙박업,,관리지역,3,,,재난배상책임보험,숙박시설,0,0,28,3942,,,0,0,,0,0,,0,3941.59,,0,,,,,,,93,,,,3942,호스텔업
286,관광숙박업,03_11_01_P,3830000,CDFI2260032018000001,2018-12-10,,1,영업/정상,13,영업중,,,,,070-8915-5137,,,경기도 안양시 동안구 호계동 966-20 알파존,"경기도 안양시 동안구 흥안대로 84-2, 알파존 (호계동)",14120,알파존,2021-04-08 10:16,U,2021-04-10 2:40,,195881.7081,429654.2366,관광숙박업,,일반상업지역,18,기타,,,숙박시설,18,3,120,4269,,,,,,,,,,4198,,,,,,,,,,,,,4198,호스텔업
287,관광숙박업,03_11_01_P,4050000,CDFI2260032019000001,2019-06-21,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 기흥구 농서동 98-5 파인관광호텔,"경기도 용인시 기흥구 삼성2로96번길 29-49, 파인관광호텔 (농서동)",17114,파인(FINE) 관광호텔,2023-07-10 10:33,U,2023-07-13 2:40,,207436.4171,413038.7173,관광숙박업,,자연녹지지역,6,기타,,,숙박시설,6,2,0,0,,,0,0,,0,0,,0,1350,,0,,,,,,,0,,,,1350,관광호텔업
288,관광숙박업,03_11_01_P,4820000,CDFI2260032019000002,2019-05-16,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 대대동 89-49번지,전라남도 순천시 순천만길 354 (대대동),58027,순천만 뉴 빌리지 호스텔 1,2019-07-23 15:36,U,2019-07-25 2:40,,246101.6518,155687.449,관광숙박업,,자연녹지지역,3,,,,숙박시설,3,,,,,,,,,,,,,222.88,,,,,,,,,,,,,223,호스텔업
289,관광숙박업,03_11_01_P,4820000,CDFI2260032019000003,2019-05-16,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 대대동 89-48,전라남도 순천시 순천만길 352 (대대동),58027,순천만 숨(suːm),2024-05-06 13:06,U,2024-05-08 2:40,,246096.3096,155701.3217,관광숙박업,,자연녹지지역,3,,,,숙박시설,3,0,0,0,,,0,0,,0,0,,0,222.88,,0,,,,,,,0,,,,223,호스텔업
290,관광숙박업,03_11_01_P,4820000,CDFI2260032019000004,2019-05-16,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 대대동 89-46,전라남도 순천시 순천만길 348 (대대동),58027,순천만 뉴 빌리지 호스텔 4,2024-05-02 15:47,U,2024-05-04 2:40,,246084.5934,155731.7376,관광숙박업,,자연녹지지역,3,,,,숙박시설,3,0,0,0,,,0,0,,0,0,,0,222.88,,0,,,,,,,0,,,,223,호스텔업
291,관광숙박업,03_11_01_P,4820000,CDFI2260032019000005,2019-05-16,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 대대동 89-47번지,전라남도 순천시 순천만길 350 (대대동),58027,순천만 뉴 빌리지 호스텔 3,2019-07-23 15:39,U,2019-07-25 2:40,,246090.646,155716.0248,관광숙박업,,자연녹지지역,3,,,,숙박시설,3,,,,,,,,,,,,,222.88,,,,,,,,,,,,,223,호스텔업
292,관광숙박업,03_11_01_P,3410000,CDFI2260032019000001,2019-04-30,,1,영업/정상,13,영업중,,,,,053-428-1045,,,대구광역시 중구 동성로3가 91-9,대구광역시 중구 동성로1길 15 (동성로3가),41942,토요코인 대구동성로,2022-05-10 10:23,U,2022-05-12 2:40,,343954.1678,264162.3241,관광숙박업,,중심상업지역,12,,,,숙박시설,10,2,213,20831,"TOYOKO INN KOREA CO.,LTD",Tourist Hotel,0,0,,0,0,,0,2032.32,,0,,,,,,,8999999500,,,,2032,관광호텔업
293,관광숙박업,03_11_01_P,3380000,CDFI2260032019000007,2019-04-30,,1,영업/정상,13,영업중,,,,,051-759-3388,,,부산광역시 수영구 민락동 181-154번지 오션브릿지,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 7층 (민락동)",48283,오션스테이호텔,2019-04-30 15:48,I,2019-05-02 2:20,,393521.9986,185933.101,관광숙박업,,준주거지역,,,,,,,,14,,,,,,,,,,,462.91,,,,,,,,,3000000000,,,,463,호스텔업
294,관광숙박업,03_11_01_P,3720000,CDFI2260032019000001,2019-05-15,,1,영업/정상,13,영업중,,,,,070-7010-8564,,,울산광역시 북구 산하동 509-1,울산광역시 북구 강동산하2로 7 (산하동),44264,머큐어 앰배서더 호텔 울산,2023-09-08 16:53,U,2023-09-10 2:40,,,,관광숙박업,,일반상업지역,15,아파트지역,,,숙박시설,11,4,131,12315,,,0,0,,0,0,,0,12314.9,,0,,,,,,,300000000,,,,12315,관광호텔업
295,관광숙박업,03_11_01_P,4060000,CDFI2260032023000001,2023-06-12,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 탄현면 문지리 278,경기도 파주시 탄현면 방촌로955번길 270-2,10857,에스파시오,2024-02-13 11:20,U,2024-02-15 2:40,,175823.0414,481238.2593,관광숙박업,,관리지역,3,,,재난배상책임보험,,2,1,4,198,,,0,0,,0,0,,0,197.77,,0,,,,,,,700000000,,,,198,호스텔업
296,관광숙박업,03_11_01_P,3380000,CDFI2260032023000009,2023-06-27,,1,영업/정상,13,영업중,,,,,,,,부산광역시 수영구 민락동 178-13 249타워,"부산광역시 수영구 광안해변로 249, 249타워 6층 (민락동)",48284,광안어썸,2023-06-27 10:27,I,2023-06-29 0:19,,393213.3366,186059.2358,관광숙박업,,,0,,,,,6,0,4,0,,,0,0,,0,0,,0,208.14,,0,,,,,,,160000000,,,,208,호스텔업
297,관광숙박업,03_11_01_P,4800000,CDFI2260032023000002,2023-06-22,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동 974-7,전라남도 목포시 하당로30번길 16 (상동),58695,루만스테이,2024-02-20 17:50,U,2024-02-22 2:40,,147038.1473,144655.6873,관광숙박업,,,0,,,,,0,0,0,591,,,0,0,,0,0,,0,591,,0,,,,,,,0,,,,591,호스텔업
298,관광숙박업,03_11_01_P,6520000,CDFI2260032023000002,2023-06-12,,1,영업/정상,13,영업중,,,,,735-7000,,,제주특별자치도 서귀포시 강정동 3703-3,제주특별자치도 서귀포시 용흥로66번길 158-8 (강정동),63556,더 시에나 리조트,2024-03-02 12:16,U,2024-03-04 2:40,,151901.3337,-25542.49901,관광숙박업,,자연녹지지역,3,,,,,3,2,0,0,,,0,0,,0,0,,0,19966.17,,0,,,,,,,0,,,,19966,휴양콘도미니엄업
299,관광숙박업,03_11_01_P,3120000,CDFI2260032023000001,2023-06-14,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서대문구 대현동 90-106 2~8층,"서울특별시 서대문구 이화여대1안길 13, 2~8층 (대현동)",3766,이화블로섬하우스,2023-06-14 14:42,I,2023-06-16 0:19,,195013.6505,450588.3586,관광숙박업,,일반상업지역,9,기타,,,숙박시설,8,1,24,831,,,0,0,,0,0,,0,609.32,,0,,,,,,,0,,,,609,호스텔업
300,관광숙박업,03_11_01_P,4231000,CDFI2260032023000003,2023-06-12,,1,영업/정상,13,영업중,,,,,,,,강원도 속초시 장사동 453-5,강원도 속초시 영랑호반길 567-3 (장사동),24805,더펠리스,2023-12-07 11:37,U,2023-12-09 2:40,,,,관광숙박업,,자연녹지지역,3,기타,,,단독주택,3,0,4,0,,,0,0,,0,0,,0,340.58,,0,,,,,,,500000000,,,,341,호스텔업
301,관광숙박업,03_11_01_P,4810000,CDFI2260032023000010,2023-06-16,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 상암동 1901,전라남도 여수시 상암4길 67 (상암동),59619,키키디디,2023-06-16 9:13,I,2023-06-18 0:19,,266450.2411,147857.0562,관광숙박업,,자연녹지지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,164.57,,0,,,,,,,40000000,,,,165,호스텔업
302,관광숙박업,03_11_01_P,3380000,CDFI2260032023000008,2023-06-23,,1,영업/정상,13,영업중,,,,,,,,부산광역시 수영구 광안동 199-6 마린빌딩,"부산광역시 수영구 남천바다로33번길 47, 마린빌딩 7,8층 (광안동)",48303,언플랜드88,2023-06-27 10:26,U,2023-06-29 2:40,,392690.8887,185530.0758,관광숙박업,,,10,,,,,0,0,12,0,,,0,0,,0,0,,0,357.68,,0,,,,,,,120000000,,,,358,호스텔업
303,관광숙박업,03_11_01_P,3380000,CDFI2260032023000010,2023-06-29,,1,영업/정상,13,영업중,,,,,051-639-9982,,,부산광역시 수영구 민락동 175-19 금샘빌딩,"부산광역시 수영구 민락로13번길 21, 금샘빌딩 3,4층 (민락동)",48285,보다스테이,2023-09-14 13:37,U,2023-09-16 2:40,,393249.3893,186172.1781,관광숙박업,,,5,,,,,4,0,5,0,,,0,0,,0,0,,0,389.56,,0,,,,,,,100000000,,,,390,호스텔업
304,관광숙박업,03_11_01_P,5141000,CDFI2260032011000001,2011-03-23,,1,영업/정상,13,영업중,,,,,054-382-1400,,,대구광역시 군위군 부계면 춘산리 33-2,대구광역시 군위군 부계면 한티로 2244,43164,백송온천관광호텔,2019-04-26 15:42,I,2023-07-01 16:42,,349501.4846,286608.428,관광숙박업,,관리지역,6,기타,,,호텔,5,1,30,0,Baeg Ssong Spa Tourist Hotel,Tourist Hotel,0,0,,0,0,,0,500461,,0,,,,,,,5000000000,,,,500461,관광호텔업
305,관광숙박업,03_11_01_P,4920000,CDFI2260032023000002,2023-06-20,,1,영업/정상,13,영업중,,,,,061-434-1000,,,전라남도 강진군 강진읍 평동리 176-17,전라남도 강진군 강진읍 영랑로 17,59234,더원비지니스호텔,2023-06-20 10:19,I,2023-06-22 0:19,,178719.4073,126561.7741,관광숙박업,,일반상업지역,10,학교정화(상대),,,호텔,10,0,0,0,,,0,0,,0,0,,0,640.12,,0,,,,,,,300000000,,,,640,관광호텔업
306,관광숙박업,03_11_01_P,4231000,CDFI2260032022000004,2022-10-17,,1,영업/정상,13,영업중,,,,,033-633-7755,,,강원특별자치도 속초시 교동 1019-6,강원특별자치도 속초시 청초호반로 202 (교동),24854,속초 비즈니스호텔 카멜,2023-01-19 11:58,I,2023-06-13 0:00,,338415.3359,522775.1069,관광숙박업,,,7,,,,,7,0,40,1613,,,0,0,,0,0,,0,1612.77,,0,,,,,,,0,,,,1613,관광호텔업
307,관광숙박업,03_11_01_P,4231000,CDFI2260032006000001,2006-07-19,,1,영업/정상,13,영업중,,,,,033-630-7000,,,강원특별자치도 속초시 대포동 245-5,"강원특별자치도 속초시 동해대로 3705, 외 8필지 (대포동)",24902,마레몬스관광호텔,2024-01-29 13:59,U,2024-01-31 2:40,,340676.6444,519441.6214,관광숙박업,관광사업,자연녹지지역,13,기타,,,숙박시설,11,2,148,16144,,,0,0,,0,0,,0,16144.38,,0,,,,,,,8659999700,,,,16144,관광호텔업
308,관광숙박업,03_11_01_P,4321000,CDFI2260032020000001,2020-04-16,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 양구군 양구읍 하리 95-74,강원특별자치도 양구군 양구읍 비봉로 99-3,24521,LACKY HOSTEL(락희호스텔),2021-03-03 15:26,I,2023-06-13 0:00,,286452.8009,512432.6086,관광숙박업,,준주거지역,4,학교정화(상대),,,숙박시설,4,0,10,584,LACKY HOSTEL,Hostel business,0,0,,0,0,,0,162.73,,0,,,,,,,500000000,,,,163,호스텔업
309,관광숙박업,03_11_01_P,4221000,CDFI2260032022000002,2022-11-02,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 태백시 황지동 208-7,"강원특별자치도 태백시 고원로 35-1, 예림빌딩 4층 401호 (황지동)",26038,예림하우스,2024-05-10 17:45,U,2024-05-12 2:40,,376553.5909,408143.4409,관광숙박업,,일반주거지역,0,,,,,0,0,1,0,,,0,0,,0,0,,0,116,,0,,,,,,,0,,,,116,호스텔업
310,관광숙박업,03_11_01_P,4341000,CDFI2260032019000001,2019-12-13,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 고성군 토성면 신평리 471-9 켄싱턴리조트설악밸리,"강원특별자치도 고성군 토성면 신평골길 8-25, 켄싱턴리조트설악밸리",24767,(주)이랜드파크 켄싱턴리조트 설악밸리,2024-04-30 21:43,U,2024-05-02 2:40,,330529.9328,526094.1335,관광숙박업,,,2,,,,콘도미니엄,2,1,0,0,,,0,0,,0,0,,0,57612,,0,,,,,,,0,,,,57612,휴양콘도미니엄업
311,관광숙박업,03_11_01_P,3590000,CDFI2260031999000001,1999-09-06,,1,영업/정상,13,영업중,,,,,226-0011,,501-150,광주광역시 동구 지산동 산 63-1,광주광역시 동구 지호로164번길 14-10 (지산동),,무등파크호텔,2022-02-17 8:47,U,2022-02-19 2:40,,195261.2028,183146.8925,관광숙박업,관광사업,,13,,,,,10,3,110,0,,,0,0,,0,0,,0,21124.52,,0,,,,,,,0,,,,21125,관광호텔업
312,관광숙박업,03_11_01_P,3590000,CDFI2260032015000001,2015-06-05,,1,영업/정상,13,영업중,,,,,,,501-813,광주광역시 동구 동명동 75-20번지,광주광역시 동구 동명로20번길 20 (동명동),61434,오아시타,2019-08-12 10:23,U,2019-08-14 2:40,,193143.4135,183470.4053,관광숙박업,,일반주거지역,3,학교정화(상대),,재난배상책임보험,호텔,2,1,,,,,,,,,,,,442,,,,,,,,,,,,,442,호스텔업
313,관광숙박업,03_11_01_P,3590000,CDFI2260032017000001,2017-01-24,,1,영업/정상,13,영업중,,,,,622348000,,,광주광역시 동구 충장로2가 6-1,광주광역시 동구 금남로 226-11 (충장로2가),61482,ACC DESIGN호텔,2024-01-22 17:16,U,2024-01-24 2:40,,192334.0689,183260.5588,관광숙박업,,중심상업지역,12,기타,,,숙박시설,10,2,67,0,ACC DESIGN HOTEL,Hotels(Accommodation and food service activities),0,0,,0,0,,0,7122.81,,0,,,,,,,12668710900,,,,7123,관광호텔업
314,관광숙박업,03_11_01_P,3640000,CDFI2260032011000001,2011-09-21,,1,영업/정상,13,영업중,,,,,042-620-6500,,300-806,대전광역시 동구 가양동 451-3,대전광역시 동구 동서대로 1700 (가양동),34573,호텔선샤인,2024-01-16 14:41,U,2024-01-18 2:40,,239289.4433,316566.9634,관광숙박업,,일반상업지역,12,,,,호텔,12,1,55,18994,Hotel Sunshine,Tourist accommodation,0,0,,0,0,,0,17529.96,,0,,,,,,,15000000500,,,,17530,관광호텔업
315,관광숙박업,03_11_01_P,3640000,CDFI2260031990000002,1990-06-08,,1,영업/정상,13,영업중,,,,,042-622-4500,,300-200,대전광역시 동구 용전동 63-31,대전광역시 동구 동서대로1683번길 46-8 (용전동),34551,belleza 호텔,2024-01-16 14:41,U,2024-01-18 2:40,,239072.7955,316787.2554,관광숙박업,관광사업,상업지역,11,유흥업소밀집지역,,,호텔,9,2,83,7224,BELLEZA HOTEL,Tourist accommodation,0,0,,0,0,,0,6824,,0,,,,,,,0,,,,6824,관광호텔업
316,관광숙박업,03_11_01_P,3400000,CDFI2260032007000001,2007-08-06,,1,영업/정상,13,영업중,,,,,051-727-9991,,,부산광역시 기장군 장안읍 기룡리 454-3,부산광역시 기장군 장안읍 장안로 38,46032,(주)동부산온천호텔,2023-10-28 8:32,U,2023-10-30 2:40,,404770.4525,207205.2678,관광숙박업,관광사업,자연녹지지역,7,기타,,,호텔,7,1,61,10722,DONGBUSAN SPA HOTEL,TOURISM HOTEL,0,0,,0,0,,0,10721.98,,0,,,,,,,100000000,,,,10722,관광호텔업
317,관광숙박업,03_11_01_P,3400000,CDFI2260032017000001,2017-04-14,,1,영업/정상,13,영업중,,,,,051-723-9633,,,부산광역시 기장군 기장읍 시랑리 704,부산광역시 기장군 기장읍 기장해안로 268-31,46083,아난티펜트하우스 해운대,2023-08-04 11:18,U,2023-08-06 2:40,,402899.6411,191203.839,관광숙박업,,일반주거지역,10,기타,,한화손해보험,콘도미니엄,10,3,218,84753,,,0,0,,0,0,,0,84752.66,,0,,,,,,,48000000000,,,,84753,휴양콘도미니엄업
318,관광숙박업,03_11_01_P,3400000,CDFI2260032017000003,2017-06-14,,1,영업/정상,13,영업중,,,,,051-509-1622,,,부산광역시 기장군 기장읍 시랑리 704-1 힐튼부산,부산광역시 기장군 기장읍 기장해안로 268-32,46083,아난티 앳 부산 코브,2023-12-21 10:18,U,2023-12-23 2:40,,402877.3233,191010.7785,관광숙박업,,일반주거지역,10,기타,,한화손해보험,호텔,10,4,316,93982,,,0,0,,0,0,,0,93981.55,,0,,,,,,,0,,,,93982,관광호텔업
319,관광숙박업,03_11_01_P,3490000,CDFI2260032015000009,2015-12-02,,1,영업/정상,13,영업중,,,,,032-777-9909,,,인천광역시 중구 북성동1가 98-238,"인천광역시 중구 월미로 299 (북성동1가, 다이아몬드호텔)",22302,다이아몬드 호텔,2023-02-13 16:53,U,2023-02-15 2:40,,164544.9405,441542.3142,관광숙박업,,일반상업지역,0,,,,숙박시설,7,1,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,관광호텔업
320,관광숙박업,03_11_01_P,3490000,CDFI2260032015000010,2015-12-30,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 운서동 2850-7번지 407호,"인천광역시 중구 공항로424번길 72 (운서동, 아이비씨디오빌)",22382,파라다이스호텔&리조트,2016-01-10 9:31,I,2018-08-31 23:59,,152407.8495,437537.6479,관광숙박업,,주거지역,10,기타,,,숙박시설,10,2,711,198963,,,,,,,,,,198962.99,,,,,,,,,1.2927E+12,,,,198963,관광호텔업
321,관광숙박업,03_11_01_P,3490000,CDFI2260032016000002,2016-04-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 678-54,,,을왕비치(본관),2021-11-04 10:37,U,2021-11-06 2:40,,144944.7748,437961.4248,관광숙박업,,자연녹지지역,3,기타,,,숙박시설,3,0,9,452,,,0,0,,0,0,,0,221.85,,0,,,,,,,20000000,,,,222,호스텔업
322,관광숙박업,03_11_01_P,3490000,CDFI2260032016000003,2016-04-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 763-14 캐슬파크 호스텔,"인천광역시 중구 을왕로58번길 10-9, 캐슬파크 호스텔 (을왕동)",22383,캐슬파크,2021-10-10 15:18,U,2021-10-12 2:40,,144423.6962,438757.9393,관광숙박업,,자연녹지지역,5,기타,,,숙박시설,4,1,0,0,,,0,0,,0,0,,0,86.45,,0,,,,,,,20000000,,,,86,호스텔업
323,관광숙박업,03_11_01_P,3490000,CDFI2260032016000004,2016-04-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 678-133,,,을왕비치(별관),2021-11-04 10:42,U,2021-11-06 2:40,,144935.8262,437995.4757,관광숙박업,,자연녹지지역,2,기타,,,숙박시설,2,0,5,236,,,0,0,,0,0,,0,161.73,,0,,,,,,,0,,,,162,호스텔업
324,관광숙박업,03_11_01_P,3490000,CDFI2260032016000005,2016-05-31,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 769-7,"인천광역시 중구 을왕로40번길 10 (을왕동, 포시즌모텔)",22383,포시즌호스텔,2022-10-05 16:25,U,2022-10-07 2:40,,144349.4957,438848.4798,관광숙박업,,자연녹지지역,5,기타,,,숙박시설,4,1,,,,,,,,,,,,407,,,,,,,,,50000000,,,,407,호스텔업
325,관광숙박업,03_11_01_P,3490000,CDFI2260032016000006,2016-05-31,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 758-4,"인천광역시 중구 을왕로58번길 11 (을왕동, 해오름)",22383,맨하탄호스텔,2023-06-27 14:58,U,2023-06-29 2:40,,144489.9211,438687.5171,관광숙박업,,자연녹지지역,4,기타,,,숙박시설,4,0,0,0,,,0,0,,0,0,,0,494.6,,0,,,,,,,30000000,,,,495,호스텔업
326,관광숙박업,03_11_01_P,3490000,CDFI2260032016000007,2016-06-13,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 729-11번지,,,대명호스텔,2019-01-29 9:17,U,2019-01-31 2:40,,144836.1673,438367.1424,관광숙박업,,자연녹지지역,4,기타,,,숙박시설,4,,,,,,,,,,,,,625,,,,,,,,,30000000,,,,625,호스텔업
327,관광숙박업,03_11_01_P,3490000,CDFI2260032016000008,2016-06-24,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 678-59번지 외3필지,"인천광역시 중구 선녀바위로 35 (을왕동, 오션스카이)",22383,오션스카이가족호텔,2018-03-19 19:30,I,2018-08-31 23:59,,144830.391,437976.8827,관광숙박업,,자연녹지지역,2,기타,,,숙박시설,2,,,,,,,,,,,,,1613.26,,,,,,,,,40000000,,,,1613,가족호텔업
328,관광숙박업,03_11_01_P,3490000,CDFI2260032017000004,2017-06-21,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 무의동 21-8번지,인천광역시 중구 대무의로 488 (무의동),22388,무의도 빨간지붕호스텔,2018-11-12 15:03,U,2018-11-14 2:36,,149695.7602,430558.7088,관광숙박업,,자연녹지지역,3,,,,,3,,,,,,,,,,,,,614,,,,,,,,,10000000,,,,614,호스텔업
329,관광숙박업,03_11_01_P,3490000,CDFI2260032017000002,2017-05-30,,1,영업/정상,13,영업중,,,,,,,400-420,인천광역시 중구 을왕동 765,인천광역시 중구 을왕로58번길 5 (을왕동),400-420,더프린스호텔,2022-02-04 20:13,U,2022-02-06 2:40,,144321.5458,438776.1261,관광숙박업,,자연녹지지역,8,,,,호텔,7,1,41,2642,,,0,0,,0,0,,0,1727,,0,,,,,,,0,,,,1727,관광호텔업
330,관광숙박업,03_11_01_P,3490000,CDFI2260032017000003,2017-06-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 인현동 20-6,"인천광역시 중구 자유공원로 3-8, 2층 (인현동)",22316,미호재 동인천점,2024-03-08 5:13,U,2024-03-10 2:40,,167255.2646,441486.4344,관광숙박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,호스텔업
331,관광숙박업,03_11_01_P,3490000,CDFI2260032016000009,2016-07-08,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 746-7,인천광역시 중구 용유서로302번길 11 (을왕동),22383,바이드302,2021-12-23 13:19,U,2021-12-25 2:40,,144773.1115,438385.1896,관광숙박업,,자연녹지지역,2,기타,,,숙박시설,2,,,,,,,,,,,,,911,,,,,,,,,50000000,,,,911,호스텔업
332,관광숙박업,03_11_01_P,3490000,CDFI2260032016000010,2016-07-08,,1,영업/정상,13,영업중,,,,,032 752 8080,,,인천광역시 중구 남북동 100-34,"인천광역시 중구 공항서로 345 (남북동, 트윈TWO관광호텔)",22384,호텔ORA,2022-05-26 17:11,U,2022-05-28 2:40,,148428.0477,439261.1239,관광숙박업,,자연녹지지역,9,기타,,,숙박시설,8,1,84,8185,,,0,0,,0,0,,0,4995,,0,,,,,,,7000000000,,,,4995,관광호텔업
333,관광숙박업,03_11_01_P,3490000,CDFI2260032017000005,2017-06-21,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 717-3번지,인천광역시 중구 을왕로13번길 5 (을왕동),22383,해변호스텔,2018-11-12 20:32,U,2018-11-14 2:36,,144500.0884,438354.0009,관광숙박업,,보전녹지지역,5,,,,,4,1,,,,,,,,,,,,659,,,,,,,,,,,,,659,호스텔업
334,관광숙박업,03_11_01_P,3490000,CDFI2260032017000006,2017-07-07,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 885-18번지,인천광역시 중구 용유서로479번길 27-1 (을왕동),22383,왕산예림 호스텔,2018-11-12 20:31,U,2018-11-14 2:36,,144136.5916,440190.1192,관광숙박업,,자연녹지지역,1,,,,,1,,,,,,,,,,,,,349.12,,,,,,,,,,,,,349,호스텔업
335,관광숙박업,03_11_01_P,3490000,CDFI2260032017000007,2017-07-07,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 758,인천광역시 중구 용유서로 341 (을왕동),22383,하나스토리 호스텔,2023-12-15 9:32,U,2023-12-17 2:40,,144494.2798,438668.9424,관광숙박업,,자연녹지지역,5,,,,,4,1,,,,,,,,,,,,317,,,,,,,,,,,,,317,호스텔업
336,관광숙박업,03_11_01_P,3490000,CDFI2260032017000008,2017-07-12,,1,영업/정상,13,영업중,,,,,032-773-7500,,,인천광역시 중구 중앙동4가 2-9,"인천광역시 중구 신포로23번길 3 (중앙동4가, 대원장모텔)",22314,세븐호텔,2023-06-12 17:18,U,2023-06-14 2:40,,166709.1093,441054.203,관광숙박업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,관광호텔업
337,관광숙박업,03_11_01_P,3490000,CDFI2260032017000009,2017-08-28,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 810-191 엘림비치존2,"인천광역시 중구 용유서로423번길 31-1, 엘림비치존2 (을왕동)",22383,엘림비치 킹스테이,2024-03-18 12:05,U,2024-03-20 2:40,,144086.486,439615.9247,관광숙박업,,자연녹지지역,5,,,,,4,1,,,,,,,,,,,,1394.73,,,,,,,,,80000,,,,1395,호스텔업
338,관광숙박업,03_11_01_P,3490000,CDFI2260032018000010,2018-05-18,,1,영업/정상,13,영업중,,,,,327657142,,,인천광역시 중구 북성동1가 98-446,인천광역시 중구 월미로234번길 10 (북성동1가),22303,옐로마린호텔,2023-03-09 13:25,U,2023-03-11 2:40,,164415.9432,441560.4025,관광숙박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,관광호텔업
339,관광숙박업,03_11_01_P,3490000,CDFI2260032016000017,2016-12-21,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 을왕동 836-5,인천광역시 중구 용유서로450번길 62 (을왕동),22383,별하우스 호스텔,2022-10-05 16:21,U,2022-10-07 2:40,,144847.5289,439787.0212,관광숙박업,,자연녹지지역,1,,,,,1,,,,,,,,,,,,,210,,,,,,,,,20000000,,,,210,호스텔업
